zip,cases,rate,tests,positive
62223,29,177.8159299,72,40.27777778
62226,65,226.7494593,346,18.78612717
62230,6,95.5566173,38,15.78947368
62231,49,658.9564282,169,28.99408284
62233,55,568.1818182,179,30.72625698
62234,28,86.35045951,134,20.89552239
62236,33,239.8778804,85,38.82352941
62239,6,127.2534464,18,33.33333333
62249,10,64.48700587,69,14.49275362
62254,12,190.7183725,55,21.81818182
62258,13,140.4949746,57,22.80701754
62265,8,182.1908449,29,27.5862069
62269,40,124.8868213,155,25.80645161
62272,23,1321.079839,39,58.97435897
62278,14,213.9691273,59,23.72881356
62285,6,135.2569883,24,25
62286,18,294.599018,94,19.14893617
62288,19,614.0917906,67,28.35820896
62294,11,77.92023801,53,20.75471698
62295,6,387.8474467,10,60
62298,29,174.6146435,85,34.11764706
62301,18,56.11322402,203,8.866995074
62305,15,77.4913468,75,20
62448,39,700.8086253,164,23.7804878
62454,7,63.13131313,79,8.860759494
62471,15,144.74573,83,18.07228916
62521,69,194.2075488,439,15.71753986
62522,15,98.28975821,64,23.4375
62526,18,55.72237873,161,11.18012422
62565,7,99.65831435,38,18.42105263
62568,25,158.3581428,151,16.55629139
62618,26,351.4463368,215,12.09302326
62629,6,43.68083867,118,5.084745763
62650,18,67.29223522,197,9.137055838
62656,7,35.83312004,217,3.225806452
62664,6,196.0143744,31,19.35483871
62684,55,938.4064153,109,50.4587156
62702,33,96.91345335,424,7.783018868
62703,18,58.23358137,301,5.980066445
62704,18,44.08739101,419,4.295942721
62707,9,129.982669,89,10.11235955
62711,11,65.66380134,153,7.189542484
62801,42,195.8589815,347,12.1037464
62832,8,90.4159132,112,7.142857143
62864,71,301.0260324,400,17.75
62901,55,209.7875424,296,18.58108108
62918,7,68.93156081,92,7.608695652
62959,15,53.18960321,346,4.335260116
62966,15,98.29619921,149,10.06711409
62992,14,2028.985507,39,35.8974359
