"","FID","COMTY_NAME","CERT","Shape_Leng","Shape_Area","location","count_","rate","Date","Shape__Area","Shape__Length"
"62",62,"WILSHIRE CENTER"," ",39543.5666349,35959758.5072,"WILSHIRE CENTER",178,354.79,"2020-05-17",4880897.5703125,14570.0722399986
"63",63,"PARK LA BREA"," ",16543.8264728,13459436.9155,"PARK LA BREA",16,117.82,"2020-05-17",1826926.3046875,6094.5264552206
"64",64,"UNIVERSITY HILLS","yes",17416.7542576,16184171.7408,"UNIVERSITY HILLS",9,262.47,"2020-05-17",2196674.1484375,6416.14178955151
"65",65,"ANGELINO HEIGHTS"," ",11358.901405,5086158.17178,"ANGELINO HEIGHTS",12,479.62,"2020-05-17",690342.1171875,4188.87489150768
"66",66,"MIRACLE MILE","yes",39099.7104234,33571980.8131,"MIRACLE MILE",39,216.85,"2020-05-17",4555788.58203125,14393.689293399
"67",67,"WESTLAKE","yes",25445.3405571,32261541.284,"WESTLAKE",499,840.7,"2020-05-17",4377754.76171875,9368.79684368452
"68",68,"CHINATOWN","yes",14302.6091352,10914285.258,"CHINATOWN",14,174.54,"2020-05-17",1481171.08984375,5269.51023146818
"69",69,"KOREATOWN","yes",28431.5002987,40187179.5014,"KOREATOWN",210,406.24,"2020-05-17",5452833.31640625,10465.7745725183
"70",70,"CENTURY CITY","yes",24103.1368105,32485123.3554,"CENTURY CITY",33,257.97,"2020-05-17",4407599.96875,8878.1080483614
"71",71,"SOUTH CARTHAY"," ",17877.0707175,14386542.4021,"SOUTH CARTHAY",28,264.28,"2020-05-17",1952177.95703125,6582.00225014315
"72",72,"COUNTRY CLUB PARK"," ",23013.4233451,24759665.6122,"COUNTRY CLUB PARK",79,521.35,"2020-05-17",3359513.77734375,8474.28042184688
"73",73,"MID-CITY"," ",29564.321088,30570514.0369,"MID-CITY",44,292.75,"2020-05-17",4147510.06640625,10880.5950387004
"74",74,"CHEVIOT HILLS","yes",33811.6752986,47875339.7759,"CHEVIOT HILLS",19,207.17,"2020-05-17",6493954.23828125,12455.744785076
"75",75,"BEVERLYWOOD"," ",32869.6016419,31737507.73,"BEVERLYWOOD",34,258.1,"2020-05-17",4305353.84375,12111.9406453307
"76",76,"CRESTVIEW"," ",21361.741998,21376801.2471,"CRESTVIEW",78,686.14,"2020-05-17",2900202.54296875,7863.68767074418
"77",77,"PICO-UNION","yes",27511.0713724,37208167.7693,"PICO-UNION",422,1008.56,"2020-05-17",5047611.90625,10129.7659211352
"78",78,"LITTLE TOKYO","yes",11664.9527483,6286183.13771,"LITTLE TOKYO",10,319.18,"2020-05-17",852800.546875,4299.22640097664
"79",79,"WEST LOS ANGELES"," ",36739.2514519,61773495.3135,"WEST LOS ANGELES",66,175.36,"2020-05-17",8379144.890625,13525.9176083251
"80",80,"VICTORIA PARK"," ",15968.962691,11167318.0447,"VICTORIA PARK",46,547.68,"2020-05-17",1514878.90625,5876.9270176588
"81",81,"HARVARD HEIGHTS"," ",21243.2545291,21355822.9774,"HARVARD HEIGHTS",95,526.75,"2020-05-17",2896956.7265625,7815.18668372446
"82",82,"LAFAYETTE SQUARE"," ",11792.383539,7428376.86412,"LAFAYETTE SQUARE",15,329.02,"2020-05-17",1007666.109375,4340.46993215363
"83",83,"CADILLAC-CORNING"," ",10618.9960704,6620027.05502,"CADILLAC-CORNING",26,365.12,"2020-05-17",897991.6953125,3910.14190742481
"84",84,"ST ELMO VILLAGE"," ",8692.25329963,4200717.42855,"ST ELMO VILLAGE",37,807.16,"2020-05-17",569820.26953125,3201.49732939436
"85",85,"CLOVERDALE/COCHRAN"," ",23087.3907268,26344948.7595,"CLOVERDALE/COCHRAN",50,343.57,"2020-05-17",3573294.46484375,8497.33805979553
"86",86,"RANCHO PARK","yes",22366.9193508,23457011.1142,"RANCHO PARK",12,182.93,"2020-05-17",3181398.9296875,8235.56435094442
"87",87,"FAIRCREST HEIGHTS"," ",16543.9996637,13206615.9434,"FAIRCREST HEIGHTS",4,111.11,"2020-05-17",1791284.7109375,6093.39889883646
"88",88,"REYNIER VILLAGE"," ",14774.8394437,10005786.6893,"REYNIER VILLAGE",10,236.52,"2020-05-17",1357063.06640625,5438.65634399767
"89",89,"WEST ADAMS","yes",36691.2665484,41503423.2811,"WEST ADAMS",164,593.56,"2020-05-17",5628947.875,13493.0753599832
"90",90,"WELLINGTON SQUARE"," ",13134.62972,8688491.46965,"WELLINGTON SQUARE",17,345.88,"2020-05-17",1178387.38671875,4836.59523239766
"91",91,"LONGWOOD"," ",11185.0853735,7238514.20584,"LONGWOOD",17,394.98,"2020-05-17",981739.52734375,4118.04671043093
"92",92,"UNIVERSITY PARK"," ",29653.7584997,41825677.5331,"UNIVERSITY PARK",130,473.48,"2020-05-17",5671629.21875,10914.1819931891
"93",93,"REGENT SQUARE"," ",10436.0640263,5307139.23823,"REGENT SQUARE",3,107.91,"2020-05-17",719735.078125,3841.21290162081
"94",94,"MAR VISTA","yes",50520.8960629,97600117.1467,"MAR VISTA",72,169.53,"2020-05-17",13230013.2890625,18600.2588180105
"95",95,"ADAMS-NORMANDIE"," ",13229.1910681,10427640.4108,"ADAMS-NORMANDIE",37,451.11,"2020-05-17",1414040.29296875,4869.28484453087
"96",96,"PALMS","yes",38707.1219246,49146441.6337,"PALMS",171,389.73,"2020-05-17",6663597.015625,14246.9659347707
"97",97,"CRENSHAW DISTRICT","yes",26051.7293897,33233216.8219,"CRENSHAW DISTRICT",64,462.8,"2020-05-17",4505926.1796875,9596.04331492536
"98",98,"ALSACE"," ",19230.0880573,16324695.6721,"ALSACE",40,321.41,"2020-05-17",2213707.12109375,7072.85524633774
"99",99,"EXPOSITION"," ",13735.5176321,9716981.47497,"EXPOSITION",6,180.4,"2020-05-17",1317584.32421875,5059.33759650618
"100",100,"EXPOSITION PARK"," ",39842.9083566,70669196.3877,"EXPOSITION PARK",201,447.49,"2020-05-17",9580693.14453125,14658.7294712162
"101",101,"JEFFERSON PARK"," ",14248.7652259,12502475.0563,"JEFFERSON PARK",29,359.22,"2020-05-17",1695201.26171875,5248.08790588759
"102",102,"CENTRAL","yes",32464.8388493,42653277.9786,"CENTRAL",237,607.82,"2020-05-17",5782235.7265625,11949.5418666592
"103",103,"BALDWIN HILLS","yes",54062.3538759,72471319.9307,"BALDWIN HILLS",115,369.48,"2020-05-17",9824086.30078125,19900.4105363918
"104",104,"LEIMERT PARK","yes",28521.7793615,37025259.1124,"LEIMERT PARK",45,295.37,"2020-05-17",5018034.78515625,10505.4535950099
"105",105,"VERNON CENTRAL"," ",40253.5070928,63745613.7719,"VERNON CENTRAL",383,736.57,"2020-05-17",8638355.71484375,14821.3946244036
"106",106,"WEST VERNON"," ",51127.2388366,70717942.6642,"WEST VERNON",338,630.08,"2020-05-17",9583048.4140625,18815.4345317636
"107",107,"SOUTH PARK"," ",27812.8824739,40272283.545,"SOUTH PARK",219,576.91,"2020-05-17",5457278.69921875,10241.8136399657
"108",108,"VENICE","yes",42487.4367832,77365656.5986,"VENICE",60,177.07,"2020-05-17",10482155.6953125,15635.067337808
"109",109,"DEL REY","yes",44901.1444683,65056174.1909,"DEL REY",62,207.11,"2020-05-17",8813664.37109375,16524.7246286933
"110",110,"VERMONT SQUARE"," ",14247.9891508,12464816.7283,"VERMONT SQUARE",69,901.14,"2020-05-17",1689092.83203125,5243.49945985987
"111",111,"HYDE PARK"," ",38453.657366,58282033.6572,"HYDE PARK",112,392.42,"2020-05-17",7894674.46875,14157.244607959
"112",112,"HYDE PARK"," ",10307.121585,1920946.17371,"HYDE PARK",112,392.42,"2020-05-17",260213.43359375,3793.9402438639
"113",113,"PLAYA VISTA"," ",38808.2010587,38198628.6997,"PLAYA VISTA",22,200.97,"2020-05-17",5173797.765625,14278.8859334631
"114",114,"FLORENCE-FIRESTONE"," ",34531.8735943,70624286.1531,"FLORENCE-FIRESTONE",257,541.68,"2020-05-17",9564578.30078125,12714.6391308427
"115",115,"HARVARD PARK"," ",34413.7998157,62620642.102,"HARVARD PARK",205,540.4,"2020-05-17",8482086.625,12654.3784892757
"116",116,"WESTCHESTER"," ",115126.335809,359230016.259,"WESTCHESTER",84,162.78,"2020-05-17",48624700.0195313,42351.3298435082
"117",117,"MARINA PENINSULA"," ",17719.2044901,10162597.2237,"MARINA PENINSULA",9,206.42,"2020-05-17",1376244.48828125,6523.62155023338
"118",118,"PLAYA DEL REY"," ",28610.7023918,18978789.3932,"PLAYA DEL REY",2,62.58,"2020-05-17",2569350.80859375,10526.1681969565
