"","OBJECTID","POSTCODE","NAME","Positive","Death","Recovered","Active","Rate","Rate_Draft","Positive_Draft","Death_Draft","ZIPType","Shape__Area","Shape__Length"
"108",108,"29166","Ward",0,NA,NA,NA,NA,NA,0,NA,"Standard",76134202.942627,51478.5315678984
"109",109,"29168","Wedgefield",5,NA,NA,NA,NA,NA,5,NA,"Standard",275014901.362183,122426.605964447
"110",110,"29170","West Columbia",31,NA,NA,NA,NA,NA,31,NA,"Standard",64323367.9331055,61719.4964083099
"111",111,"29172","West Columbia",21,NA,NA,NA,NA,NA,21,NA,"Standard",66354734.3406982,58013.079746523
"112",112,"29175","Westville",1,NA,NA,NA,NA,NA,1,NA,"Standard",21292285.3690186,33480.7143295299
"113",113,"29201","Columbia",33,NA,NA,NA,NA,NA,33,NA,"Standard",29710386.4459229,35042.3585761904
"114",114,"29203","Columbia",139,NA,NA,NA,NA,NA,140,NA,"Standard",171003525.540649,76997.1039821758
"115",115,"29204","Columbia",57,NA,NA,NA,NA,NA,58,NA,"Standard",16585786.3154297,21285.9929525592
"116",116,"29205","Columbia",26,NA,NA,NA,NA,NA,28,NA,"Standard",16856603.4605713,18518.8748803766
"117",117,"29206","Columbia",30,NA,NA,NA,NA,NA,31,NA,"Standard",27851293.9593506,46862.0772073533
