"","OBJECTID","POSTCODE","NAME","Positive","Death","Recovered","Active","Rate","Rate_Draft","Positive_Draft","Death_Draft","ZIPType","Shape__Area","Shape__Length"
"118",118,"29207","Columbia",92,NA,NA,NA,NA,NA,92,NA,"Standard",9947371.5435791,21735.422560907
"119",119,"29208","Columbia",2,NA,NA,NA,NA,NA,2,NA,"Standard",469643.891845703,3488.48945689487
"120",120,"29209","Columbia",79,NA,NA,NA,NA,NA,80,NA,"Standard",90242228.0206299,63274.3542705977
"121",121,"29223","Columbia",233,NA,NA,NA,NA,NA,236,NA,"Standard",259388221.360474,94542.5747880003
"122",122,"29229","Columbia",184,NA,NA,NA,NA,NA,184,NA,"Standard",49361668.1826172,65953.6572266001
"123",123,"29434","Cordesville",0,NA,NA,NA,NA,NA,0,NA,"Standard",163109581.784668,85861.4021967457
"124",124,"29613","Greenville",0,NA,NA,NA,NA,NA,0,NA,"Standard",2862057.63220215,8067.23739584568
"125",125,"29662","Mauldin",23,NA,NA,NA,NA,NA,23,NA,"Standard",14145002.2755127,29455.3868503339
"126",126,"29687","Taylors",63,NA,NA,NA,NA,NA,68,NA,"Standard",117642173.445435,108472.287868724
"127",127,"29658","Long Creek",0,NA,NA,NA,NA,NA,0,NA,"Standard",67494468.5516968,71594.0346437029
"128",128,"29659","Lowndesville",0,NA,NA,NA,NA,NA,0,NA,"Standard",551097.775390625,3080.37893546378
"129",129,"29664","Mountain Rest",0,NA,NA,NA,NA,NA,0,NA,"Standard",277586454.067993,174791.418993251
"130",130,"29672","Seneca",6,NA,NA,NA,NA,NA,6,NA,"Standard",136637977.515991,96499.0362478936
"131",131,"29667","Norris",0,NA,NA,NA,NA,NA,0,NA,"Standard",1500709.2623291,8254.4812293803
"132",132,"29671","Pickens",5,NA,NA,NA,NA,NA,5,NA,"Standard",339000797.627197,162277.687046503
"133",133,"29676","Salem",6,NA,NA,NA,NA,NA,6,NA,"Standard",223338042.786499,100525.767231201
"134",134,"29697","Williamston",12,NA,NA,NA,NA,NA,12,NA,"Standard",98593599.2370605,90575.0591746354
"135",135,"29680","Simpsonville",58,NA,NA,NA,NA,NA,59,NA,"Standard",83003856.7070313,61847.0954054024
