"","Report.Date","ZIP.Code","Number.of.Cases","Number.of.PCR.Testing.Encounters"
"261","5/18/2020","22940","Suppressed*",21
"262","5/18/2020","22942","7",252
"263","5/18/2020","22943","0",10
"264","5/18/2020","22946","Suppressed*",4
"265","5/18/2020","22947","Suppressed*",84
"266","5/18/2020","22948","0",2
"267","5/18/2020","22949","0",32
"268","5/18/2020","22952","0",29
"269","5/18/2020","22958","Suppressed*",30
"270","5/18/2020","22959","Suppressed*",54
"271","5/18/2020","22960","20",296
"272","5/18/2020","22963","24",390
"273","5/18/2020","22964","0",4
"274","5/18/2020","22967","Suppressed*",25
"275","5/18/2020","22968","9",201
"276","5/18/2020","22969","Suppressed*",29
"277","5/18/2020","22971","0",40
"278","5/18/2020","22972","Suppressed*",15
"279","5/18/2020","22973","5",154
"280","5/18/2020","22974","5",120
"281","5/18/2020","22976","0",7
"282","5/18/2020","22980","31",475
"283","5/18/2020","22989","0",4
"284","5/18/2020","23002","18",258
"285","5/18/2020","23004","9",40
"286","5/18/2020","23005","33",258
"287","5/18/2020","23009","11",116
"288","5/18/2020","23011","Suppressed*",22
"289","5/18/2020","23015","9",88
"290","5/18/2020","23021","0",4
"291","5/18/2020","23022","5",32
"292","5/18/2020","23023","Suppressed*",5
"293","5/18/2020","23024","20",140
"294","5/18/2020","23025","0",7
"295","5/18/2020","23027","Suppressed*",36
"296","5/18/2020","23030","15",108
"297","5/18/2020","23032","0",1
"298","5/18/2020","23035","Suppressed*",18
"299","5/18/2020","23038","7",37
"300","5/18/2020","23039","Suppressed*",23
"301","5/18/2020","23040","8",108
"302","5/18/2020","23043","Suppressed*",13
"303","5/18/2020","23045","0",1
"304","5/18/2020","23047","0",23
"305","5/18/2020","23050","Suppressed*",6
"306","5/18/2020","23055","38",60
"307","5/18/2020","23056","0",0
"308","5/18/2020","23059","38",507
"309","5/18/2020","23060","88",694
"310","5/18/2020","23061","16",274
"311","5/18/2020","23062","Suppressed*",49
"312","5/18/2020","23063","53",178
"313","5/18/2020","23064","0",2
"314","5/18/2020","23065","Suppressed*",26
"315","5/18/2020","23066","0",3
"316","5/18/2020","23068","0",5
"317","5/18/2020","23069","Suppressed*",51
"318","5/18/2020","23070","0",6
"319","5/18/2020","23071","Suppressed*",16
"320","5/18/2020","23072","7",160
"321","5/18/2020","23075","107",300
"322","5/18/2020","23076","0",10
"323","5/18/2020","23079","0",1
"324","5/18/2020","23083","Suppressed*",43
"325","5/18/2020","23084","6",65
"326","5/18/2020","23085","Suppressed*",7
"327","5/18/2020","23086","Suppressed*",38
"328","5/18/2020","23089","8",114
"329","5/18/2020","23091","0",8
"330","5/18/2020","23092","0",6
"331","5/18/2020","23093","26",370
"332","5/18/2020","23102","7",42
"333","5/18/2020","23103","15",105
"334","5/18/2020","23106","Suppressed*",22
"335","5/18/2020","23108","0",1
"336","5/18/2020","23109","Suppressed*",34
"337","5/18/2020","23110","0",13
"338","5/18/2020","23111","66",664
"339","5/18/2020","23112","91",903
"340","5/18/2020","23113","63",525
"341","5/18/2020","23114","33",343
"342","5/18/2020","23115","0",5
"343","5/18/2020","23116","94",707
"344","5/18/2020","23117","9",216
"345","5/18/2020","23119","Suppressed*",2
"346","5/18/2020","23120","22",219
"347","5/18/2020","23123","16",92
"348","5/18/2020","23124","6",77
"349","5/18/2020","23126","0",5
"350","5/18/2020","23128","Suppressed*",20
"351","5/18/2020","23129","0",3
"352","5/18/2020","23130","Suppressed*",4
"353","5/18/2020","23138","0",4
"354","5/18/2020","23139","24",381
"355","5/18/2020","23140","14",125
"356","5/18/2020","23141","9",128
"357","5/18/2020","23146","6",34
"358","5/18/2020","23148","Suppressed*",24
"359","5/18/2020","23149","5",51
"360","5/18/2020","23150","43",262
"361","5/18/2020","23153","Suppressed*",22
"362","5/18/2020","23156","Suppressed*",22
"363","5/18/2020","23160","0",8
"364","5/18/2020","23161","0",1
"365","5/18/2020","23163","0",0
"366","5/18/2020","23168","8",179
"367","5/18/2020","23169","0",11
"368","5/18/2020","23173","0",1
"369","5/18/2020","23175","Suppressed*",19
"370","5/18/2020","23176","0",2
"371","5/18/2020","23177","0",12
"372","5/18/2020","23180","0",2
"373","5/18/2020","23181","Suppressed*",112
"374","5/18/2020","23185","131",1081
"375","5/18/2020","23187","0",12
"376","5/18/2020","23188","124",1060
"377","5/18/2020","23192","10",91
"378","5/18/2020","23219","13",98
"379","5/18/2020","23220","59",483
"380","5/18/2020","23221","17",210
"381","5/18/2020","23222","76",526
"382","5/18/2020","23223","211",1259
"383","5/18/2020","23224","305",1185
"384","5/18/2020","23225","180",1152
"385","5/18/2020","23226","87",375
"386","5/18/2020","23227","67",558
"387","5/18/2020","23228","105",807
"388","5/18/2020","23229","80",608
"389","5/18/2020","23230","11",140
"390","5/18/2020","23231","105",727
"391","5/18/2020","23233","105",649
"392","5/18/2020","23234","271",1170
"393","5/18/2020","23235","95",839
"394","5/18/2020","23236","56",625
"395","5/18/2020","23237","90",541
"396","5/18/2020","23238","222",670
"397","5/18/2020","23250","0",2
"398","5/18/2020","23294","49",343
"399","5/18/2020","23301","58",117
"400","5/18/2020","23302","Suppressed*",6
"401","5/18/2020","23303","13",39
"402","5/18/2020","23304","Suppressed*",4
"403","5/18/2020","23306","21",61
"404","5/18/2020","23307","12",38
"405","5/18/2020","23308","35",84
"406","5/18/2020","23310","18",90
"407","5/18/2020","23313","Suppressed*",4
"408","5/18/2020","23314","10",160
"409","5/18/2020","23315","Suppressed*",27
"410","5/18/2020","23316","11",38
"411","5/18/2020","23320","135",1448
"412","5/18/2020","23321","46",641
"413","5/18/2020","23322","74",862
"414","5/18/2020","23323","56",620
"415","5/18/2020","23324","37",408
"416","5/18/2020","23325","37",340
"417","5/18/2020","23336","8",52
"418","5/18/2020","23337","0",8
"419","5/18/2020","23347","14",30
"420","5/18/2020","23350","52",148
"421","5/18/2020","23354","9",18
"422","5/18/2020","23356","Suppressed*",29
"423","5/18/2020","23357","31",54
"424","5/18/2020","23359","11",21
"425","5/18/2020","23389","Suppressed*",4
"426","5/18/2020","23395","14",34
"427","5/18/2020","23398","Suppressed*",8
"428","5/18/2020","23401","Suppressed*",13
"429","5/18/2020","23405","10",30
"430","5/18/2020","23407","43",67
"431","5/18/2020","23408","Suppressed*",4
"432","5/18/2020","23409","Suppressed*",4
"433","5/18/2020","23410","47",118
"434","5/18/2020","23413","69",212
"435","5/18/2020","23414","22",39
"436","5/18/2020","23415","32",94
"437","5/18/2020","23416","11",36
"438","5/18/2020","23417","46",141
"439","5/18/2020","23418","42",88
"440","5/18/2020","23420","62",142
"441","5/18/2020","23421","114",377
"442","5/18/2020","23422","Suppressed*",14
"443","5/18/2020","23423","Suppressed*",8
"444","5/18/2020","23426","5",6
"445","5/18/2020","23427","5",9
"446","5/18/2020","23430","30",283
"447","5/18/2020","23432","6",24
"448","5/18/2020","23433","0",26
"449","5/18/2020","23434","154",1242
