"","Town_No","Town","LastUpdateDate","ConfirmedCases","Deaths","CaseRate","PeopleTested"
"101",101,"North Haven","2020-05-20",216,19,912,1084
"102",102,"North Stonington","2020-05-20",10,0,191,172
"103",103,"Norwalk","2020-05-20",1924,117,2161,5433
"104",104,"Norwich","2020-05-20",81,3,207,1147
"105",105,"Old Lyme","2020-05-20",16,1,217,239
"106",106,"Old Saybrook","2020-05-20",32,0,317,300
"107",107,"Orange","2020-05-20",112,6,803,581
"108",108,"Oxford","2020-05-20",77,6,582,428
"109",109,"Plainfield","2020-05-20",30,1,198,460
"110",110,"Plainville","2020-05-20",132,17,749,626
"111",111,"Plymouth","2020-05-20",63,1,541,347
"112",112,"Pomfret","2020-05-20",11,0,262,111
"113",113,"Portland","2020-05-20",55,14,591,239
"114",114,"Preston","2020-05-20",10,0,216,196
"115",115,"Prospect","2020-05-20",51,0,521,261
"116",116,"Putnam","2020-05-20",24,1,255,291
"117",117,"Redding","2020-05-20",68,8,745,329
"118",118,"Ridgefield","2020-05-20",197,42,788,990
"119",119,"Rocky Hill","2020-05-20",363,74,1802,950
"120",120,"Roxbury","2020-05-20",6,1,278,66
"121",121,"Salem","2020-05-20",4,0,97,152
"122",122,"Salisbury","2020-05-20",10,0,278,64
"123",123,"Scotland","2020-05-20",0,0,0,14
"124",124,"Seymour","2020-05-20",210,37,1272,773
"125",125,"Sharon","2020-05-20",33,1,1221,168
"126",126,"Shelton","2020-05-20",531,126,1292,1749
"127",127,"Sherman","2020-05-20",14,2,387,121
"128",128,"Simsbury","2020-05-20",106,11,424,539
"129",129,"Somers","2020-05-20",280,4,2584,866
"130",132,"South Windsor","2020-05-20",133,28,510,600
"131",130,"Southbury","2020-05-20",158,29,804,1236
"132",131,"Southington","2020-05-20",275,24,628,1331
"133",133,"Sprague","2020-05-20",3,0,104,101
"134",134,"Stafford","2020-05-20",93,17,783,319
"135",135,"Stamford","2020-05-20",3063,176,2360,7629
"136",136,"Sterling","2020-05-20",2,0,53,74
"137",137,"Stonington","2020-05-20",30,2,163,692
"138",138,"Stratford","2020-05-20",736,65,1416,2682
"139",139,"Suffield","2020-05-20",111,18,705,323
"140",140,"Thomaston","2020-05-20",52,0,688,233
"141",141,"Thompson","2020-05-20",29,2,309,192
"142",142,"Tolland","2020-05-20",47,4,321,287
"143",143,"Torrington","2020-05-20",458,76,1338,1423
"144",144,"Trumbull","2020-05-20",493,90,1377,1562
"145",145,"Union","2020-05-20",4,0,476,14
"146",146,"Vernon","2020-05-20",170,18,580,709
"147",147,"Voluntown","2020-05-20",9,1,355,79
"148",148,"Wallingford","2020-05-20",406,54,912,1864
"149",149,"Warren","2020-05-20",4,0,286,14
"150",150,"Washington","2020-05-20",19,2,553,226
"151",151,"Waterbury","2020-05-20",1759,143,1627,4802
"152",152,"Waterford","2020-05-20",148,16,784,948
"153",153,"Watertown","2020-05-20",137,6,633,716
"154",155,"West Hartford","2020-05-20",512,86,813,1913
"155",156,"West Haven","2020-05-20",978,59,1782,3365
"156",154,"Westbrook","2020-05-20",23,1,333,202
"157",157,"Weston","2020-05-20",62,1,605,407
"158",158,"Westport","2020-05-20",273,21,971,1364
"159",159,"Wethersfield","2020-05-20",231,8,886,835
"160",160,"Willington","2020-05-20",11,0,187,98
"161",161,"Wilton","2020-05-20",200,37,1087,750
"162",162,"Winchester","2020-05-20",50,3,469,295
"163",163,"Windham","2020-05-20",140,10,567,591
"164",164,"Windsor","2020-05-20",489,92,1700,1081
"165",165,"Windsor Locks","2020-05-20",98,16,761,360
"166",166,"Wolcott","2020-05-20",93,8,559,450
"167",167,"Woodbridge","2020-05-20",121,28,1374,402
"168",168,"Woodbury","2020-05-20",39,2,409,296
"169",169,"Woodstock","2020-05-20",13,0,165,180
