"","Report.Date","ZIP.Code","Number.of.Cases","Number.of.Testing.Encounters"
"292","5/17/2020","23023","Suppressed*","5"
"293","5/17/2020","23024","20","157"
"294","5/17/2020","23025","0","7"
"295","5/17/2020","23027","Suppressed*","37"
"296","5/17/2020","23030","15","109"
"297","5/17/2020","23032","0","1"
"298","5/17/2020","23035","Suppressed*","22"
"299","5/17/2020","23038","7","36"
"300","5/17/2020","23039","Suppressed*","27"
"301","5/17/2020","23040","8","110"
"302","5/17/2020","23043","Suppressed*","17"
"303","5/17/2020","23045","0","2"
"304","5/17/2020","23047","0","24"
"305","5/17/2020","23050","Suppressed*","9"
"306","5/17/2020","23055","38","61"
"307","5/17/2020","23056","0","2"
"308","5/17/2020","23059","38","595"
"309","5/17/2020","23060","86","724"
"310","5/17/2020","23061","16","318"
"311","5/17/2020","23062","Suppressed*","62"
"312","5/17/2020","23063","53","185"
"313","5/17/2020","23064","0","2"
"314","5/17/2020","23065","Suppressed*","27"
"315","5/17/2020","23066","0","5"
"316","5/17/2020","23068","0","8"
"317","5/17/2020","23069","Suppressed*","58"
"318","5/17/2020","23070","0","6"
"319","5/17/2020","23071","Suppressed*","15"
"320","5/17/2020","23072","7","208"
"321","5/17/2020","23075","107","298"
"322","5/17/2020","23076","0","11"
"323","5/17/2020","23079","0","1"
"324","5/17/2020","23083","Suppressed*","42"
"325","5/17/2020","23084","5","69"
"326","5/17/2020","23085","Suppressed*","5"
"327","5/17/2020","23086","Suppressed*","39"
"328","5/17/2020","23089","8","131"
"329","5/17/2020","23091","0","8"
"330","5/17/2020","23092","0","5"
"331","5/17/2020","23093","25","373"
"332","5/17/2020","23102","7","47"
"333","5/17/2020","23103","14","135"
"334","5/17/2020","23106","0","23"
"335","5/17/2020","23108","0","1"
"336","5/17/2020","23109","Suppressed*","38"
"337","5/17/2020","23110","0","18"
"338","5/17/2020","23111","66","699"
"339","5/17/2020","23112","91","1,069"
"340","5/17/2020","23113","63","676"
"341","5/17/2020","23114","33","444"
"342","5/17/2020","23115","0","5"
"343","5/17/2020","23116","94","775"
"344","5/17/2020","23117","9","226"
"345","5/17/2020","23119","Suppressed*","2"
"346","5/17/2020","23120","22","300"
"347","5/17/2020","23123","16","91"
"348","5/17/2020","23124","6","83"
"349","5/17/2020","23126","0","5"
"350","5/17/2020","23128","Suppressed*","24"
"351","5/17/2020","23129","0","5"
"352","5/17/2020","23130","Suppressed*","4"
"353","5/17/2020","23138","0","5"
"354","5/17/2020","23139","24","511"
"355","5/17/2020","23140","13","140"
