"","OBJECTID","PO_NAME","ZIP_CODE","Negative","Positive","Probable","Additional_Tracking","Positive_Redacted","Negative_Redacted"
"303",631,"Spruce Creek","16683",-1,0,0,NA,NA,NA
"304",632,"Todd","16685",0,0,0,NA,NA,NA
"305",633,"Tyrone","16686",88,-1,0,NA,NA,NA
"306",634,"Waterfall","16689",-1,-1,0,NA,NA,NA
"307",635,"Wells Tannery","16691",-1,0,0,NA,NA,NA
"308",636,"Westover","16692",10,0,0,NA,NA,NA
"309",637,"Williamsburg","16693",16,-1,0,NA,NA,NA
"310",638,"Woodbury","16695",-1,0,0,NA,NA,NA
"311",639,"Bradford","16701",83,0,0,NA,NA,NA
"312",640,"Austin","16720",10,0,0,NA,NA,NA
"313",641,"Crosby","16724",0,0,0,NA,NA,NA
"314",642,"Cyclone","16726",-1,0,0,NA,NA,NA
"315",643,"Derrick City","16727",-1,0,0,NA,NA,NA
"316",644,"Duke Center","16729",-1,0,0,NA,NA,NA
"317",645,"Eldred","16731",13,0,0,NA,NA,NA
"318",646,"Gifford","16732",-1,0,0,NA,NA,NA
"319",647,"James City","16734",0,0,0,NA,NA,NA
"320",648,"Kane","16735",29,6,0,NA,NA,NA
"321",649,"Lewis Run","16738",0,0,0,NA,NA,NA
"322",650,"Mount Jewett","16740",6,0,0,NA,NA,NA
"323",651,"Port Allegany","16743",22,0,0,NA,NA,NA
"324",652,"Rew","16744",-1,0,0,NA,NA,NA
"325",653,"Rixford","16745",-1,0,0,NA,NA,NA
"326",654,"Roulette","16746",5,-1,0,NA,NA,NA
"327",655,"Shinglehouse","16748",12,0,0,NA,NA,NA
"328",656,"Smethport","16749",28,0,0,NA,NA,NA
"329",657,"Turtlepoint","16750",0,0,0,NA,NA,NA
"330",658,"State College","16801",276,27,0,NA,NA,NA
"331",659,"University Park","16802",10,0,0,NA,NA,NA
"332",660,"State College","16803",175,16,0,NA,NA,NA
"333",661,"Aaronsburg","16820",11,0,0,NA,NA,NA
"334",662,"Allport","16821",5,0,0,NA,NA,NA
"335",663,"Beech Creek","16822",20,-1,0,NA,NA,NA
"336",664,"Bellefonte","16823",260,34,-1,NA,NA,NA
"337",665,"Boalsburg","16827",44,9,0,NA,NA,NA
"338",666,"Centre Hall","16828",32,-1,0,NA,NA,NA
"339",667,"Clarence","16829",7,0,0,NA,NA,NA
"340",668,"Clearfield","16830",111,5,0,NA,NA,NA
"341",669,"Coburn","16832",7,0,0,NA,NA,NA
"342",670,"Curwensville","16833",27,0,0,NA,NA,NA
"343",671,"Frenchville","16836",6,0,0,NA,NA,NA
"344",672,"Glen Richey","16837",-1,0,0,NA,NA,NA
"345",673,"Grampian","16838",15,0,0,NA,NA,NA
"346",674,"Grassflat","16839",-1,0,0,NA,NA,NA
"347",675,"Hawk Run","16840",-1,0,0,NA,NA,NA
"348",676,"Howard","16841",35,-1,0,NA,NA,NA
"349",677,"Julian","16844",23,-1,0,NA,NA,NA
"350",678,"Karthaus","16845",9,0,0,NA,NA,NA
"351",679,"Lecontes Mills","16850",0,0,0,NA,NA,NA
"352",680,"Madisonburg","16852",-1,-1,0,NA,NA,NA
"353",681,"Millheim","16854",9,0,0,NA,NA,NA
"354",682,"Morrisdale","16858",31,0,0,NA,NA,NA
"355",683,"Moshannon","16859",5,0,0,NA,NA,NA
"356",684,"Munson","16860",-1,-1,-1,NA,NA,NA
"357",685,"New Millport","16861",-1,0,0,NA,NA,NA
"358",686,"Olanta","16863",5,0,0,NA,NA,NA
"359",687,"Orviston","16864",-1,0,0,NA,NA,NA
"360",688,"Pennsylvania Furnace","16865",11,0,0,NA,NA,NA
"361",689,"Philipsburg","16866",62,-1,0,NA,NA,NA
"362",690,"Port Matilda","16870",57,8,0,NA,NA,NA
"363",691,"Pottersdale","16871",-1,0,0,NA,NA,NA
"364",692,"Rebersburg","16872",5,0,0,NA,NA,NA
"365",693,"Snow Shoe","16874",18,0,0,NA,NA,NA
"366",694,"Spring Mills","16875",20,0,0,NA,NA,NA
"367",695,"Wallaceton","16876",0,0,0,NA,NA,NA
"368",696,"Warriors Mark","16877",6,0,0,NA,NA,NA
