"","zip","cases","deaths","lat","long"
"187","87718",0,0,36.5998081,-105.2918854
"188","87722",0,0,36.1919317,-105.2612191
"189","87723",0,0,36.0587523,-105.375577
"190","87724",0,0,35.1733632,-105.0774848
"191","87728",0,0,36.596537,-104.6190842
"192","87729",0,0,36.3034755,-104.8179673
"193","87730",0,0,36.153001,-104.2144467
"194","87731",0,0,35.7598581,-105.4127304
"195","87732",0,0,35.9580022,-105.3642864
"196","87733",0,0,35.8154318,-103.8391262
"197","87734",0,0,36.1665439,-105.0858842
"198","87735",0,0,36.0694612,-105.1531622
"199","87736",0,0,35.9804486,-105.1970765
"200","87740",1,0,36.746631,-104.4153217
"201","87742",0,0,35.9023507,-105.5109377
"202","87743",1,0,35.9735652,-104.0908141
"203","87745",0,0,35.8109259,-105.2136456
"204","87746",0,0,35.7760681,-104.0468941
"205","87747",0,0,36.3561943,-104.4717715
"206","87749",0,0,36.5444334,-105.1033649
"207","87750",0,0,35.8253339,-104.9272017
"208","87752",0,0,36.0215935,-104.6499865
"209","87753",0,0,35.8633134,-104.9542979
"210","87801",2,0,34.1272107,-106.8261874
"211","87820",0,0,33.9376528,-108.5868204
"212","87821",0,0,33.979952,-108.0625003
"213","87823",1,0,34.2066928,-106.9859483
"214","87824",0,0,33.8285111,-108.981932
"215","87825",41,0,33.8773166,-107.6562263
"216","87827",0,0,34.4068254,-108.0967484
"217","87828",0,0,34.2058531,-106.9167187
"218","87829",1,0,34.3577033,-108.6427674
"219","87830",0,0,33.7280552,-108.743608
"220","87831",0,0,34.2648033,-106.9329232
"221","87832",2,0,33.7668962,-106.8212171
"222","87901",1,0,33.2167951,-107.1005847
"223","87930",1,0,32.8506812,-107.4435672
"224","87931",0,0,32.9534685,-107.4268402
"225","87933",0,0,32.790195,-107.2779131
"226","87935",0,0,33.2548025,-107.2292737
"227","87936",0,0,32.7528274,-107.2636137
"228","87937",4,0,32.5931815,-107.1843197
"229","87939",0,0,33.4126811,-107.488561
"230","87940",1,0,32.6215161,-107.0065409
"231","87941",0,0,32.7206909,-107.2196117
"232","87942",0,0,33.0609878,-107.3489203
"233","87943",0,0,33.3830921,-107.7361425
"234","88001",14,0,32.2900515,-106.7538933
"235","88002",0,0,32.4629474,-106.4861578
"236","88003",0,0,32.280653,-106.7459437
"237","88004",1,0,32.2230961,-106.9874309
"238","88005",17,0,32.2583484,-106.8231261
"239","88007",5,0,32.4410918,-106.9212747
"240","88008",25,0,31.8393778,-106.6820844
"241","88009",0,0,31.9960242,-108.5747734
"242","88011",14,0,32.3222342,-106.6556843
"243","88012",16,0,32.5833842,-106.7713777
"244","88020",0,0,31.7724101,-108.8394234
"245","88021",34,0,31.9518869,-107.0162715
"246","88022",2,0,32.8080018,-108.1764684
"247","88023",2,0,32.7325737,-108.1444264
"248","88024",4,0,32.0705552,-106.6394111
"249","88025",0,0,33.0468066,-108.743434
"250","88026",0,0,32.7525075,-108.1628842
"251","88027",2,0,32.0441277,-106.7895818
"252","88028",0,0,32.9328195,-108.6359465
"253","88029",0,0,31.8448787,-107.6947225
"254","88030",7,0,32.1916339,-107.7294305
"255","88032",0,0,32.3995623,-106.81876
"256","88033",0,0,32.3196189,-107.0288538
"257","88034",0,0,32.613183,-107.9380615
"258","88038",0,0,33.1219696,-108.3830365
"259","88039",0,0,33.2984506,-108.8026914
"260","88040",0,0,31.5973365,-108.3549011
"261","88041",0,0,32.7901186,-107.9125381
"262","88042",1,0,32.8124784,-107.5783829
"263","88043",1,0,32.6103563,-108.10017
"264","88044",3,0,32.1479778,-106.8058499
"265","88045",1,0,32.3850889,-108.7560934
"266","88046",0,0,32.2500179,-106.8022615
"267","88047",2,0,32.2100413,-106.7146901
"268","88048",19,0,32.1634472,-106.6600857
"269","88049",0,0,33.0355824,-107.918696
"270","88051",0,0,32.9991547,-108.9203354
"271","88052",0,0,32.4253612,-106.5994275
"272","88053",0,0,32.9025164,-108.2059295
"273","88055",0,0,32.7278173,-108.7409904
"274","88056",0,0,31.8441992,-108.9825253
"275","88061",9,0,32.654439,-108.3335459
"276","88063",36,0,31.8179636,-106.5991073
"277","88065",0,0,32.6774758,-108.328867
"278","88072",3,0,32.1380637,-106.6161063
"279","88081",106,0,32.2312433,-106.2305659
"280","88101",28,0,34.4993842,-103.2752719
"281","88103",0,0,34.3839678,-103.3180497
"282","88112",0,0,34.8459719,-103.1769202
"283","88113",0,0,33.7720103,-103.0851789
"284","88114",0,0,33.523567,-103.199379
"285","88115",0,0,33.930877,-103.3454974
"286","88116",0,0,33.9157001,-103.8788324
"287","88118",0,0,34.2295414,-103.6894863
"288","88119",0,0,34.3219963,-104.4067473
"289","88120",0,0,34.7998501,-103.3464667
"290","88121",0,0,34.7146228,-103.9806363
"291","88124",0,0,34.5433766,-103.6518186
"292","88125",0,0,33.7055309,-103.2259253
"293","88126",0,0,33.811264,-103.3720054
"294","88130",13,0,34.1291773,-103.299416
"295","88132",0,0,33.9072988,-103.1667658
"296","88134",0,0,34.3230931,-104.0187151
"297","88135",6,0,34.5828075,-103.099614
"298","88136",0,0,34.4653325,-104.7511783
"299","88201",16,0,33.6370612,-104.3779262
"300","88203",10,0,33.3095688,-104.0882383
"301","88210",8,0,32.7717974,-104.2196691
"302","88220",5,0,32.311477,-104.4319127
"303","88230",1,0,33.219165,-104.397567
"304","88231",0,0,32.4519089,-103.2627712
"305","88232",0,0,33.0773773,-104.4655045
