"","status","message","data.zip","data.cases","data.deaths","data.lat","data.long"
"277","ok","","88065",0,0,32.6774758,-108.328867
"278","ok","","88072",3,0,32.1380637,-106.6161063
"279","ok","","88081",106,0,32.2312433,-106.2305659
"280","ok","","88101",28,0,34.4993842,-103.2752719
"281","ok","","88103",0,0,34.3839678,-103.3180497
"282","ok","","88112",0,0,34.8459719,-103.1769202
"283","ok","","88113",0,0,33.7720103,-103.0851789
"284","ok","","88114",0,0,33.523567,-103.199379
"285","ok","","88115",0,0,33.930877,-103.3454974
"286","ok","","88116",0,0,33.9157001,-103.8788324
"287","ok","","88118",0,0,34.2295414,-103.6894863
"288","ok","","88119",0,0,34.3219963,-104.4067473
"289","ok","","88120",0,0,34.7998501,-103.3464667
"290","ok","","88121",0,0,34.7146228,-103.9806363
"291","ok","","88124",0,0,34.5433766,-103.6518186
"292","ok","","88125",0,0,33.7055309,-103.2259253
"293","ok","","88126",0,0,33.811264,-103.3720054
"294","ok","","88130",13,0,34.1291773,-103.299416
"295","ok","","88132",0,0,33.9072988,-103.1667658
"296","ok","","88134",0,0,34.3230931,-104.0187151
"297","ok","","88135",6,0,34.5828075,-103.099614
"298","ok","","88136",0,0,34.4653325,-104.7511783
"299","ok","","88201",16,0,33.6370612,-104.3779262
"300","ok","","88203",10,0,33.3095688,-104.0882383
"301","ok","","88210",8,0,32.7717974,-104.2196691
"302","ok","","88220",5,0,32.311477,-104.4319127
"303","ok","","88230",1,0,33.219165,-104.397567
"304","ok","","88231",0,0,32.4519089,-103.2627712
"305","ok","","88232",0,0,33.0773773,-104.4655045
"306","ok","","88240",12,0,32.7037078,-103.4851123
"307","ok","","88242",0,0,32.813416,-103.1622578
"308","ok","","88250",0,0,32.7018881,-104.9604132
"309","ok","","88252",0,0,32.1551185,-103.377932
"310","ok","","88253",0,0,32.9346475,-104.6263682
"311","ok","","88254",0,0,32.612744,-104.4502469
"312","ok","","88255",0,0,32.8142013,-103.996448
"313","ok","","88256",0,0,32.1980655,-103.9080388
"314","ok","","88260",2,0,32.9919054,-103.3818827
"315","ok","","88262",0,0,33.1171396,-103.421158
"316","ok","","88263",0,0,32.0978813,-104.081618
"317","ok","","88264",0,0,32.8909124,-103.711709
"318","ok","","88265",0,0,32.6204544,-103.3028708
"319","ok","","88267",0,0,33.337444,-103.4252186
"320","ok","","88268",0,0,32.176318,-104.3796667
"321","ok","","88301",0,0,33.7840128,-105.7857202
"322","ok","","88310",5,0,32.6400692,-106.0752107
"323","ok","","88311",0,0,32.8079791,-105.9875454
"324","ok","","88312",0,0,33.4376463,-105.6725984
"325","ok","","88314",0,0,33.1101241,-105.8669683
"326","ok","","88316",0,0,33.7976563,-105.3228926
"327","ok","","88317",0,0,32.9237728,-105.6369868
"328","ok","","88318",0,0,34.2071022,-105.3969383
"329","ok","","88321",0,0,34.7613074,-105.4583299
"330","ok","","88323",0,0,33.4947042,-105.5275451
"331","ok","","88324",0,0,33.3898121,-105.4390568
"332","ok","","88325",0,0,32.8566053,-105.8583755
"333","ok","","88330",0,0,32.8366126,-106.0773835
"334","ok","","88336",0,0,33.3283051,-105.2800026
"335","ok","","88337",1,0,32.996694,-105.8846985
"336","ok","","88338",0,0,33.4895248,-105.3945196
"337","ok","","88339",0,0,32.9418755,-105.2606204
"338","ok","","88340",0,0,33.1761347,-105.5832417
"339","ok","","88341",0,0,33.4261755,-105.856659
"340","ok","","88342",0,0,32.3885786,-106.111844
"341","ok","","88343",0,0,33.2259212,-105.07718
"342","ok","","88344",0,0,32.5586941,-105.2923234
"343","ok","","88345",0,0,33.3472261,-105.6802837
"344","ok","","88346",1,0,33.3538073,-105.5400524
"345","ok","","88347",0,0,32.7561846,-105.657681
"346","ok","","88348",0,0,33.396166,-105.3583911
"347","ok","","88349",0,0,32.7792766,-105.8022581
"348","ok","","88350",0,0,32.6433906,-105.6770138
"349","ok","","88351",0,0,33.5494223,-105.0877149
"350","ok","","88352",1,0,33.1663111,-105.9940332
"351","ok","","88353",1,0,34.5713551,-105.1161406
"352","ok","","88354",0,0,32.755149,-105.4943425
"353","ok","","88355",1,0,33.3604161,-105.6673749
"354","ok","","88401",4,0,35.1194823,-103.8222302
