"","OBJECTID","ZIPCODE1","ZIPName","ProtectedCount"
"258",258,"21227","Halethorpe",185
"259",259,"21228","Catonsville",371
"260",260,"21229","Carroll",292
"261",261,"21230","Morrell Park",147
"262",262,"21231","Baltimore",77
"263",263,"21234","Parkville",282
"264",264,"21235","Baltimore",NA
"265",265,"21236","Nottingham",93
"266",266,"21237","Rosedale",164
"267",267,"21239","Northwood",158
"268",268,"21240","BWI Airport",NA
"269",269,"21241","Baltimore",NA
"270",270,"21244","Windsor Mill",221
"271",271,"21250","Baltimore",NA
"272",272,"21251","Baltimore",NA
"273",273,"21252","Baltimore",NA
"274",274,"21286","Towson",52
"275",275,"21287","Baltimore",NA
"276",276,"21401","Annapolis",225
"277",277,"21402","Naval Academy",NA
"278",278,"21403","Eastport",226
"279",279,"21405","Sherwood Forest",NA
"280",280,"21409","Annapolis",42
"281",281,"21502","Cumberland",117
"282",282,"21520","Accident",NA
"283",283,"21521","Barton",NA
"284",284,"21522","Bittinger",NA
"285",285,"21523","Bloomington",NA
"286",286,"21530","Flintstone",NA
"287",287,"21531","Friendsville",NA
"288",288,"21532","Frostburg",17
"289",289,"21536","Grantsville",NA
"290",290,"21538","Kitzmiller",NA
"291",291,"21539","Lonaconing",NA
"292",292,"21540","Luke",NA
"293",293,"21541","McHenry",NA
"294",294,"21545","Mount Savage",NA
"295",295,"21550","Oakland",NA
"296",296,"21555","Oldtown",NA
"297",297,"21557","Rawlings",NA
"298",298,"21561","Swanton",NA
"299",299,"21562","Westernport",NA
"300",300,"21601","Easton",43
"301",301,"21607","Barclay",NA
"302",302,"21610","Betterton",NA
"303",303,"21612","Bozman",NA
"304",304,"21613","Cambridge",54
"305",305,"21617","Centreville",15
"306",306,"21619","Chester",11
"307",307,"21620","Chestertown",74
"308",308,"21622","Church Creek",NA
"309",309,"21623","Church Hill",NA
"310",310,"21625","Cordova",NA
"311",311,"21626","Crapo",NA
"312",312,"21627","Crocheron",NA
"313",313,"21629","Denton",19
"314",314,"21631","East New Market",NA
"315",315,"21632","Federalsburg",40
"316",316,"21634","Fishing Creek",NA
"317",317,"21635","Galena",NA
"318",318,"21636","Goldsboro",NA
"319",319,"21638","Grasonville",10
"320",320,"21639","Greensboro",9
"321",321,"21640","Henderson",NA
"322",322,"21643","Hurlock",18
"323",323,"21644","Ingleside",NA
"324",324,"21645","Kennedyville",NA
"325",325,"21647","McDaniel",NA
"326",326,"21648","Madison",NA
"327",327,"21649","Marydel",13
"328",328,"21650","Massey",NA
"329",329,"21651","Millington",NA
"330",330,"21652","Neavitt",NA
"331",331,"21654","Oxford",NA
"332",332,"21655","Preston",13
"333",333,"21657","Queen Anne",NA
"334",334,"21658","Queenstown",NA
"335",335,"21659","Rhodesdale",NA
"336",336,"21660","Ridgely",NA
"337",337,"21661","Rock Hall",NA
"338",338,"21662","Royal Oak",NA
"339",339,"21663","Saint Michaels",NA
"340",340,"21665","Sherwood",NA
"341",341,"21666","Stevensville",15
"342",342,"21667","Still Pond",NA
"343",343,"21668","Sudlersville",NA
"344",344,"21669","Taylors Island",NA
"345",345,"21671","Tilghman",NA
"346",346,"21672","Toddville",NA
"347",347,"21673","Trappe",NA
"348",348,"21675","Wingate",NA
"349",349,"21676","Wittman",NA
"350",350,"21677","Woolford",NA
"351",351,"21678","Worton",9
"352",352,"21679","Wye Mills",NA
"353",353,"21701","Frederick",224
"354",354,"21702","Frederick",323
"355",355,"21703","Frederick",292
"356",356,"21704","Frederick",80
"357",357,"21710","Adamstown",NA
"358",358,"21711","Big Pool",NA
"359",359,"21713","Boonsboro",20
"360",360,"21716","Brunswick",20
"361",361,"21718","Burkittsville",NA
"362",362,"21719","Cascade",NA
"363",363,"21722","Clear Spring",8
"364",364,"21723","Cooksville",NA
"365",365,"21727","Emmitsburg",15
"366",366,"21733","Fairplay",NA
"367",367,"21737","Glenelg",NA
"368",368,"21738","Glenwood",11
"369",369,"21740","Hagerstown",119
"370",370,"21742","Hagerstown",52
"371",371,"21750","Hancock",11
"372",372,"21754","Ijamsville",10
"373",373,"21755","Jefferson",13
"374",374,"21756","Keedysville",NA
"375",375,"21757","Keymar",NA
"376",376,"21758","Knoxville",10
"377",377,"21766","Little Orleans",NA
"378",378,"21767","Maugansville",NA
"379",379,"21769","Middletown",8
"380",380,"21770","Monrovia",22
"381",381,"21771","Mount Airy",156
"382",382,"21773","Myersville",NA
"383",383,"21774","New Market",38
"384",384,"21776","New Windsor",11
"385",385,"21777","Point of Rocks",NA
"386",386,"21778","Rocky Ridge",NA
"387",387,"21779","Rohrersville",NA
"388",388,"21780","Sabillasville",NA
"389",389,"21782","Sharpsburg",NA
"390",390,"21783","Smithsburg",15
"391",391,"21784","Sykesville",97
"392",392,"21787","Taneytown",20
"393",393,"21788","Thurmont",25
"394",394,"21790","Tuscarora",NA
"395",395,"21791","Union Bridge",8
"396",396,"21793","Walkersville",37
"397",397,"21794","West Friendship",10
"398",398,"21795","Williamsport",10
"399",399,"21797","Woodbine",18
"400",400,"21798","Woodsboro",NA
"401",401,"21801","Salisbury",176
"402",402,"21804","Salisbury",268
"403",403,"21811","Berlin",47
"404",404,"21813","Bishopville",NA
"405",405,"21814","Bivalve",NA
"406",406,"21817","Crisfield",9
"407",407,"21821","Deal Island",NA
"408",408,"21822","Eden",NA
"409",409,"21824","Ewell",NA
"410",410,"21826","Fruitland",24
"411",411,"21829","Girdletree",NA
"412",412,"21830","Hebron",NA
"413",413,"21835","Linkwood",NA
"414",414,"21837","Mardela Springs",NA
"415",415,"21838","Marion Station",NA
"416",416,"21840","Nanticoke",NA
"417",417,"21841","Newark",NA
"418",418,"21842","Ocean City",13
"419",419,"21849","Parsonsburg",NA
"420",420,"21850","Pittsville",8
"421",421,"21851","Pocomoke City",27
"422",422,"21853","Princess Anne",20
"423",423,"21856","Quantico",NA
"424",424,"21862","Showell",NA
"425",425,"21863","Snow Hill",10
"426",426,"21864","Stockton",NA
"427",427,"21865","Tyaskin",NA
"428",428,"21869","Vienna",NA
"429",429,"21871","Westover",NA
"430",430,"21872","Whaleyville",NA
"431",431,"21874","Willards",NA
"432",432,"21875","Delmar",17
"433",433,"21890","Westover",NA
"434",434,"21901","North East",20
"435",435,"21903","Perryville",NA
"436",436,"21904","Port Deposit",10
"437",437,"21911","Rising Sun",80
"438",438,"21912","Warwick",NA
"439",439,"21915","Chesapeake City",NA
"440",440,"21917","Colora",NA
"441",441,"21918","Conowingo",NA
"442",442,"21919","Earleville",NA
"443",443,"21921","Elkton",75
